speaker,gloss,date
MOT,you have_to be a good girl if you're not a good girl you can't go see the baby you'll have_to go to bed .,30-OCT-1963
MOT,hi Sarah .,30-OCT-1963
CHI,hi there .,30-OCT-1963
CHI,xxx .,30-OCT-1963
GLO,hi Sarah my name is Gloria .,30-OCT-1963
GLO,can you say Gloria ?,30-OCT-1963
CHI,Gloria +...,30-OCT-1963
GLO,very good .,30-OCT-1963
GLO,hi Sarah .,30-OCT-1963
CHI,hi .,30-OCT-1963
GLO,hi Sarah .,30-OCT-1963
CHI,hi Gloria +...,30-OCT-1963
CHI,hi .,30-OCT-1963
GLO,what's that ?,30-OCT-1963
GLO,is that your dollie ?,30-OCT-1963
GLO,is that your dollie honey ?,30-OCT-1963
GLO,what's this ?,30-OCT-1963
CHI,a skirt .,30-OCT-1963
GLO,a skirt ?,30-OCT-1963
CHI,-eh .,30-OCT-1963
GLO,who's that ?,30-OCT-1963
CHI,dollie .,30-OCT-1963
GLO,aw .,30-OCT-1963
CHI,yyy .,30-OCT-1963
GLO,recording begins as of now .,30-OCT-1963
GLO,I've just fixed the machine .,30-OCT-1963
CHI,0 .,30-OCT-1963
GLO,I think she's a little uncomfortable with all these people around .,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,okay here it is .,30-OCT-1963
CHI,0 .,30-OCT-1963
MOT,well it's the same thing .,30-OCT-1963
MOT,you taste it and see if it's not nice give it to me and Mummy'll drink it .,30-OCT-1963
MOT,you want it ?,30-OCT-1963
CHI,hit .,30-OCT-1963
MOT,you know what you'll get .,30-OCT-1963
MOT,you know .,30-OCT-1963
GLO,I'm going to write honey .,30-OCT-1963
MOT,wanna read ?,30-OCT-1963
MOT,huh ?,30-OCT-1963
MOT,wanna read hm ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a yyy xxx .,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,eye .,30-OCT-1963
MOT,al .,30-OCT-1963
MOT,yeah .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a car .,30-OCT-1963
MOT,car .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a chair .,30-OCT-1963
MOT,a chair .,30-OCT-1963
MOT,oh who's this ?,30-OCT-1963
CHI,a eye .,30-OCT-1963
MOT,who's this ?,30-OCT-1963
CHI,eye eye eye eye eye .,30-OCT-1963
MOT,she's good she's not bad .,30-OCT-1963
MOT,hm ?,30-OCT-1963
MOT,nice ?,30-OCT-1963
CHI,boat .,30-OCT-1963
MOT,boat yes .,30-OCT-1963
CHI,Bobo .,30-OCT-1963
MOT,Bozo yeah .,30-OCT-1963
CHI,nose .,30-OCT-1963
MOT,nose yeah it's a funny nose huh .,30-OCT-1963
CHI,hm .,30-OCT-1963
MOT,hm .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,oh .,30-OCT-1963
CHI,a eye .,30-OCT-1963
MOT,xxx upside down .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a chair .,30-OCT-1963
MOT,a chair .,30-OCT-1963
MOT,what is this ?,30-OCT-1963
CHI,a eye .,30-OCT-1963
MOT,hm ?,30-OCT-1963
